,Unnamed: 0,Column,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,addr_state,dti,earliest_cr_line,mths_since_last_delinq,open_acc,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,application_type,tot_cur_bal,open_act_il,mths_since_rcnt_il,total_bal_il,il_util,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mths_since_recent_bc,mths_since_recent_inq,mths_since_recent_revol_delinq,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_op_past_12m,pct_tl_nvr_dlq,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit
7,7,7,10000,10000,10000, 60 months,12.4,224.48,6,,6,38000.0,Not Verified,Mar-19,Fully Paid,credit_card,GA,38.66,Feb-97,,7,8334,49.0,18,w,0.0,0.0,10149.964740000001,10149.96,10000.0,149.96,Apr-19,10163.74,,Mar-19,Individual,134860,2,36.0,29189,37.0,0,6574,44.0,17000,0,19266.0,8666.0,49.0,170.0,265,37,33,112.0,,,2,2,4,6,7,4,7,2,7,0,100.0,176439,37523,17000,57439
51,51,51,15000,15000,15000, 60 months,17.97,380.66,4,9.0,5,45000.0,Verified,Mar-19,Fully Paid,debt_consolidation,FL,19.07,Mar-07,,8,10759,48.0,10,w,0.0,0.0,15127.2875,15127.29,15000.0,127.29,Apr-19,15157.24,,Apr-19,Individual,23300,1,6.0,12541,85.0,3,3116,63.0,22400,4,3329.0,8805.0,46.3,142.0,144,3,3,12.0,6.0,,4,5,5,5,3,7,7,5,8,4,100.0,37222,23300,16400,14822
80,80,80,35000,35000,35000, 60 months,13.08,797.8,6,1.0,6,125890.0,Verified,Mar-19,Fully Paid,debt_consolidation,VA,30.48,Jul-05,,14,32363,66.7,29,w,0.0,0.0,35016.52833,35016.53,35000.0,16.53,Apr-19,35067.4,,May-19,Individual,343773,3,8.0,98987,51.0,0,10327,61.0,48500,3,28648.0,5425.0,83.4,134.0,139,34,8,34.0,23.0,,5,6,6,6,12,10,11,6,14,2,100.0,399376,131350,32700,130876
135,135,135,17500,17500,17500, 36 months,17.19,625.58,5,5.0,5,82000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,MO,15.7,Jun-06,13.0,12,15296,83.6,27,w,0.0,0.0,17921.69847,17921.7,17500.0,421.7,Apr-19,17955.12,,May-19,Individual,141781,6,16.0,126485,63.0,0,4624,71.0,18300,2,11815.0,2113.0,87.9,153.0,143,29,16,55.0,16.0,31.0,4,5,4,4,21,6,6,5,12,0,92.6,131463,141781,17400,113163
146,146,146,13750,13750,13750, 36 months,28.8,574.71,4,,6,17808.0,Verified,Mar-19,Fully Paid,credit_card,OH,30.12,Apr-90,,6,16814,87.6,8,w,0.0,0.0,13817.98,13817.98,13750.0,67.98,Apr-19,13861.98,,Apr-19,Individual,16814,0,,0,,2,6730,88.0,19200,2,2802.0,602.0,96.1,,347,3,3,11.0,2.0,,3,6,3,3,0,6,7,6,6,2,87.5,19200,16814,15400,0
190,190,190,10000,10000,10000, 36 months,13.9,341.3,5,10.0,5,90000.0,Not Verified,Mar-19,Fully Paid,debt_consolidation,NY,7.92,Dec-11,50.0,5,9898,58.6,6,w,0.0,0.0,10138.133890000001,10138.13,10000.0,138.13,Apr-19,10153.57,,May-19,Individual,24717,1,18.0,14819,80.0,1,4913,70.0,16900,2,4943.0,1648.0,80.6,72.0,87,21,18,21.0,0.0,,2,3,2,2,2,4,4,3,5,0,83.3,35430,24717,8500,18530
290,290,290,2400,2400,2400, 36 months,7.56,74.73,7,1.0,6,45000.0,Not Verified,Mar-19,Fully Paid,debt_consolidation,MD,8.0,Jul-74,,5,1086,3.5,31,f,0.0,0.0,2400.5504,2400.55,2400.0,0.55,Apr-19,2402.57,,Apr-19,Individual,86033,1,19.0,3951,51.0,0,719,13.0,31300,1,17207.0,27940.0,3.7,141.0,536,26,19,30.0,19.0,,2,3,2,10,5,3,22,3,5,0,100.0,124956,5037,29000,7756
307,307,307,40000,40000,40000, 60 months,12.4,897.89,6,4.0,6,150000.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,NC,11.99,Jul-99,,6,28928,0.1,32,f,0.0,0.0,40644.05171,40644.05,40000.0,644.05,Apr-19,40699.16,,May-19,Individual,82837,3,6.0,53909,33.0,0,28857,11.0,106000,4,13806.0,77072.0,0.1,172.0,157,27,6,27.0,4.0,,2,2,3,10,14,3,12,2,6,2,100.0,177923,82837,106000,71923
473,473,473,10000,10000,10000, 36 months,6.46,306.31,7,8.0,6,59000.0,Not Verified,Mar-19,Fully Paid,other,TX,2.64,Nov-80,,7,4000,14.1,22,w,0.0,0.0,10002.3186,10002.32,10000.0,2.32,Apr-19,10009.5,,May-19,Individual,88592,1,29.0,432,14.0,1,4000,14.0,28400,1,14765.0,22400.0,15.2,146.0,460,7,7,7.0,,,1,1,4,8,5,5,14,1,7,1,100.0,162600,4432,26400,3000
629,629,629,26100,26100,26100, 60 months,20.0,691.5,4,10.0,6,68000.0,Verified,Mar-19,Fully Paid,credit_card,NY,21.8,Nov-97,73.0,22,36170,58.5,27,w,0.0,0.0,26721.0775,26721.08,26100.0,621.08,Apr-19,26779.08,,May-19,Individual,404057,1,12.0,12486,105.0,3,6393,66.0,61800,4,19241.0,7293.0,79.3,142.0,256,6,6,6.0,14.0,,9,17,11,11,3,20,21,17,22,3,96.2,465646,48656,35300,11846
643,643,643,31000,31000,31000, 60 months,12.4,695.87,6,10.0,6,105000.0,Not Verified,Mar-19,Fully Paid,debt_consolidation,CA,18.82,Dec-94,21.0,11,9035,23.4,51,w,0.0,0.0,31013.88222,31013.88,31000.0,13.88,Apr-19,31056.59,,Apr-19,Individual,507157,4,17.0,136698,86.0,2,79,60.0,38600,10,46105.0,12421.0,0.6,158.0,291,17,17,24.0,6.0,21.0,1,2,1,7,27,6,21,2,11,0,94.0,551489,145733,12500,142989
676,676,676,24000,24000,24000, 60 months,13.08,547.06,6,10.0,6,82500.0,Source Verified,Mar-19,Fully Paid,debt_consolidation,AZ,23.39,Aug-05,,11,19968,81.5,18,w,0.0,0.0,24020.056,24020.06,24000.0,20.06,Apr-19,24054.94,,May-19,Individual,307398,2,16.0,33130,74.0,3,6895,76.0,24500,6,27945.0,3491.0,82.5,64.0,163,2,2,2.0,5.0,,6,8,6,6,6,8,11,8,11,2,100.0,324871,53098,19900,45081
719,719,719,8000,8000,8000, 36 months,16.4,282.84,5,2.0,6,46000.0,Source Verified,Mar-19,Fully Paid,other,TN,31.78,Jan-04,,17,2456,7.2,41,w,0.0,0.0,8004.7355560000005,8004.74,8000.0,4.74,Apr-19,8019.32,,Apr-19,Joint App,207221,7,2.0,124385,97.0,5,2366,66.0,33900,14,12189.0,27144.0,8.3,137.0,175,2,2,2.0,2.0,,2,2,5,7,19,9,14,2,17,10,100.0,230708,126841,29600,116000
720,720,720,17000,17000,17000, 60 months,13.9,394.68,5,10.0,5,62000.0,Verified,Mar-19,Fully Paid,debt_consolidation,TX,22.57,Jul-04,,10,19202,96.0,12,w,0.0,0.0,17008.52861,17008.53,17000.0,8.53,Apr-19,17034.79,,May-19,Individual,34114,2,41.0,14912,44.0,0,8288,63.0,20000,0,4873.0,798.0,96.0,176.0,144,29,29,29.0,,,5,5,8,8,4,8,8,5,10,0,100.0,54280,34114,20000,34280
