,loan_amnt,funded_amnt,int_rate,installment,grade,emp_length,annual_inc,loan_status,purpose,addr_state,last_pymnt_amnt,avg_cur_bal,num_actv_rev_tl
0,10000,10000,12.4,224.48,6,,38000.0,Fully Paid,credit_card,GA,10163.74,19266.0,2
1,15000,15000,17.97,380.66,4,9.0,45000.0,Fully Paid,debt_consolidation,FL,15157.24,3329.0,5
2,35000,35000,13.08,797.8,6,1.0,125890.0,Fully Paid,debt_consolidation,VA,35067.4,28648.0,6
3,17500,17500,17.19,625.58,5,5.0,82000.0,Fully Paid,debt_consolidation,MO,17955.12,11815.0,5
4,13750,13750,28.8,574.71,4,,17808.0,Fully Paid,credit_card,OH,13861.98,2802.0,6
5,10000,10000,13.9,341.3,5,10.0,90000.0,Fully Paid,debt_consolidation,NY,10153.57,4943.0,3
6,2400,2400,7.56,74.73,7,1.0,45000.0,Fully Paid,debt_consolidation,MD,2402.57,17207.0,3
7,40000,40000,12.4,897.89,6,4.0,150000.0,Fully Paid,debt_consolidation,NC,40699.16,13806.0,2
8,10000,10000,6.46,306.31,7,8.0,59000.0,Fully Paid,other,TX,10009.5,14765.0,1
9,26100,26100,20.0,691.5,4,10.0,68000.0,Fully Paid,credit_card,NY,26779.08,19241.0,17
10,31000,31000,12.4,695.87,6,10.0,105000.0,Fully Paid,debt_consolidation,CA,31056.59,46105.0,2
11,24000,24000,13.08,547.06,6,10.0,82500.0,Fully Paid,debt_consolidation,AZ,24054.94,27945.0,8
12,8000,8000,16.4,282.84,5,2.0,46000.0,Fully Paid,other,TN,8019.32,12189.0,2
13,17000,17000,13.9,394.68,5,10.0,62000.0,Fully Paid,debt_consolidation,TX,17034.79,4873.0,5
14,28000,28000,20.0,741.83,4,7.0,54000.0,Fully Paid,debt_consolidation,TN,28713.11,10537.0,6
15,15000,15000,7.56,467.01,7,1.0,115000.0,Fully Paid,car,NJ,15016.54,28186.0,4
16,13000,13000,20.0,483.13,4,1.0,30000.0,Fully Paid,credit_card,NV,13052.72,2446.0,6
17,3600,3600,16.4,127.28,5,,46000.0,Fully Paid,other,NC,3611.97,2632.0,3
18,10500,10500,11.71,347.3,6,3.0,100000.0,Fully Paid,other,IL,10517.08,666.0,3
19,14000,14000,20.0,520.3,4,10.0,170000.0,Fully Paid,home_improvement,CA,14155.56,46017.0,9
20,20000,20000,15.57,698.91,5,,46620.0,Fully Paid,car,VT,20045.85,9549.0,0
21,7000,7000,7.02,216.21,7,7.0,79950.0,Fully Paid,credit_card,NY,7030.03,17041.0,3
22,28000,28000,17.97,1011.85,4,5.0,45000.0,Fully Paid,debt_consolidation,NJ,28487.7,2026.0,5
23,14000,14000,17.19,349.37,5,1.0,60000.0,Fully Paid,other,MI,14034.63,4517.0,3
24,26000,26000,15.57,626.35,5,10.0,69000.0,Fully Paid,debt_consolidation,MD,26058.25,7603.0,17
25,35000,35000,7.02,1081.02,7,8.0,101000.0,Fully Paid,debt_consolidation,WA,35081.9,61895.0,4
26,40000,40000,16.4,981.25,5,1.0,130000.0,Fully Paid,debt_consolidation,MI,40961.22,12355.0,9
27,6000,6000,17.19,214.49,5,1.0,77500.0,Charged Off,other,NY,0.0,9551.0,1
28,5000,5000,20.0,185.82,4,,44000.0,Charged Off,credit_card,OK,0.0,2041.0,13
29,5000,5000,20.0,185.82,4,,24000.0,Fully Paid,debt_consolidation,FL,5019.44,1333.0,3
30,18000,18000,8.19,565.64,7,1.0,224000.0,Fully Paid,credit_card,CA,18021.21,4410.0,6
31,16000,16000,22.5,615.2,4,6.0,60000.0,Fully Paid,credit_card,NY,16350.0,2675.0,2
32,10000,10000,8.19,314.25,7,10.0,118000.0,Charged Off,credit_card,CA,314.25,38981.0,10
33,1200,1200,15.57,41.94,5,5.0,60000.0,Fully Paid,car,CA,1224.71,4314.0,4
34,30925,30925,14.74,731.49,5,10.0,66000.0,Fully Paid,credit_card,AR,30990.59,24494.0,3
35,40000,40000,15.57,963.61,5,10.0,72000.0,Fully Paid,debt_consolidation,VA,40089.61,6587.0,7
36,3000,3000,11.71,99.23,6,,54000.0,Fully Paid,other,CA,3030.23,31719.0,2
37,3000,3000,11.71,99.23,6,2.0,48000.0,Fully Paid,major_purchase,NC,3007.81,3217.0,4
38,9000,9000,14.74,310.85,5,1.0,46000.0,Fully Paid,credit_card,SC,9117.76,2848.0,3
39,40000,40000,7.56,1245.36,7,10.0,150000.0,Fully Paid,other,OH,92.4,14197.0,2
40,10000,10000,7.02,308.87,7,1.0,195000.0,Fully Paid,home_improvement,NY,10104.13,34727.0,5
41,15000,15000,7.02,463.3,7,6.0,63000.0,Fully Paid,debt_consolidation,AZ,15014.8,14187.0,2
42,6000,6000,10.33,194.54,6,1.0,25000.0,Fully Paid,credit_card,OH,6008.92,9332.0,1
43,13000,13000,7.02,401.53,7,1.0,160000.0,Fully Paid,major_purchase,CA,19.29,20962.0,4
44,40000,40000,8.19,814.7,7,1.0,70000.0,Fully Paid,other,MA,40047.14,38111.0,5
45,6025,6025,12.4,201.27,6,10.0,50000.0,Fully Paid,credit_card,MA,6089.77,749.0,5
46,20000,20000,20.0,743.28,4,1.0,80000.0,Fully Paid,small_business,NJ,20288.89,6.0,11
47,18000,18000,20.0,668.95,4,2.0,38000.0,Charged Off,debt_consolidation,IL,0.0,1221.0,5
48,20000,20000,28.8,632.41,4,10.0,156000.0,Fully Paid,debt_consolidation,FL,20607.02,20387.0,9
49,7500,7500,14.74,259.04,5,10.0,70000.0,Fully Paid,debt_consolidation,FL,7536.85,1835.0,8
50,3000,3000,11.71,99.23,6,5.0,38400.0,Charged Off,debt_consolidation,AL,0.0,816.0,2
51,11000,11000,13.08,250.74,6,10.0,150000.0,Fully Paid,house,NJ,11028.78,20550.0,1
52,6000,6000,7.56,186.81,7,10.0,125000.0,Fully Paid,debt_consolidation,NY,20.26,26312.0,4
53,6000,6000,13.08,202.4,6,,35707.0,Fully Paid,moving,NY,6114.4,1119.0,5
54,9000,9000,8.19,282.82,7,10.0,74000.0,Fully Paid,debt_consolidation,GA,9028.67,4677.0,3
55,40000,40000,16.4,981.25,5,8.0,160000.0,Fully Paid,debt_consolidation,FL,40094.39,91587.0,5
56,15000,15000,8.81,475.68,7,,65000.0,Fully Paid,debt_consolidation,CA,15116.94,49441.0,3
57,40000,40000,20.0,1059.76,4,10.0,40000.0,Fully Paid,credit_card,CA,40996.72,41615.0,14
