loan_status,int_rate,purpose,addr_state,funded_amnt,installment,emp_length,annual_inc,last_pymnt_amnt,num_actv_rev_tl,num_sats,avg_cur_bal
Fully Paid,12.40%,credit_card,GA,10000,224.48,,38000.0,10163.74,2,7,19266.0
Fully Paid,17.97%,debt_consolidation,FL,15000,380.66,9 years,45000.0,15157.24,5,8,3329.0
Fully Paid,13.08%,debt_consolidation,VA,35000,797.8,< 1 year,125890.0,35067.4,6,14,28648.0
Fully Paid,17.19%,debt_consolidation,MO,17500,625.58,5 years,82000.0,17955.12,5,12,11815.0
Fully Paid,28.80%,credit_card,OH,13750,574.71,,17808.0,13861.98,6,6,2802.0
Fully Paid,13.90%,debt_consolidation,NY,10000,341.3,10+ years,90000.0,10153.57,3,5,4943.0
Fully Paid,7.56%,debt_consolidation,MD,2400,74.73,< 1 year,45000.0,2402.57,3,5,17207.0
Fully Paid,12.40%,debt_consolidation,NC,40000,897.89,4 years,150000.0,40699.16,2,6,13806.0
Fully Paid,6.46%,other,TX,10000,306.31,8 years,59000.0,10009.5,1,7,14765.0
Fully Paid,20.00%,credit_card,NY,26100,691.5,10+ years,68000.0,26779.08,17,22,19241.0
Fully Paid,12.40%,debt_consolidation,CA,31000,695.87,10+ years,105000.0,31056.59,2,11,46105.0
Fully Paid,13.08%,debt_consolidation,AZ,24000,547.06,10+ years,82500.0,24054.94,8,11,27945.0
Fully Paid,16.40%,other,TN,8000,282.84,2 years,46000.0,8019.32,2,17,12189.0
Fully Paid,13.90%,debt_consolidation,TX,17000,394.68,10+ years,62000.0,17034.79,5,10,4873.0
Fully Paid,20.00%,debt_consolidation,TN,28000,741.83,7 years,54000.0,28713.11,6,18,10537.0
Fully Paid,7.56%,car,NJ,15000,467.01,< 1 year,115000.0,15016.54,4,14,28186.0
Fully Paid,20.00%,credit_card,NV,13000,483.13,1 year,30000.0,13052.72,6,8,2446.0
Fully Paid,16.40%,other,NC,3600,127.28,,46000.0,3611.97,3,7,2632.0
Fully Paid,11.71%,other,IL,10500,347.3,3 years,100000.0,10517.08,3,4,666.0
Fully Paid,20.00%,home_improvement,CA,14000,520.3,10+ years,170000.0,14155.56,9,18,46017.0
Fully Paid,15.57%,car,VT,20000,698.91,,46620.0,20045.85,0,7,9549.0
Fully Paid,7.02%,credit_card,NY,7000,216.21,7 years,79950.0,7030.03,3,8,17041.0
Fully Paid,17.97%,debt_consolidation,NJ,28000,1011.85,5 years,45000.0,28487.7,5,8,2026.0
Fully Paid,17.19%,other,MI,14000,349.37,< 1 year,60000.0,14034.63,3,6,4517.0
Fully Paid,15.57%,debt_consolidation,MD,26000,626.35,10+ years,69000.0,26058.25,17,20,7603.0
Fully Paid,7.02%,debt_consolidation,WA,35000,1081.02,8 years,101000.0,35081.9,4,7,61895.0
Fully Paid,16.40%,debt_consolidation,MI,40000,981.25,< 1 year,130000.0,40961.22,9,19,12355.0
Late (31-120 days),17.19%,other,NY,6000,214.49,< 1 year,77500.0,0.0,1,5,9551.0
Late (31-120 days),20.00%,credit_card,OK,5000,185.82,,44000.0,0.0,13,15,2041.0
Fully Paid,20.00%,debt_consolidation,FL,5000,185.82,,24000.0,5019.44,3,3,1333.0
Fully Paid,8.19%,credit_card,CA,18000,565.64,< 1 year,224000.0,18021.21,6,16,4410.0
Fully Paid,22.50%,credit_card,NY,16000,615.2,6 years,60000.0,16350.0,2,7,2675.0
In Grace Period,8.19%,credit_card,CA,10000,314.25,10+ years,118000.0,314.25,10,20,38981.0
Fully Paid,15.57%,car,CA,1200,41.94,5 years,60000.0,1224.71,4,7,4314.0
Fully Paid,14.74%,credit_card,AR,30925,731.49,10+ years,66000.0,30990.59,3,10,24494.0
Fully Paid,15.57%,debt_consolidation,VA,40000,963.61,10+ years,72000.0,40089.61,7,7,6587.0
Fully Paid,11.71%,other,CA,3000,99.23,,54000.0,3030.23,2,7,31719.0
Fully Paid,11.71%,major_purchase,NC,3000,99.23,2 years,48000.0,3007.81,4,20,3217.0
Fully Paid,14.74%,credit_card,SC,9000,310.85,< 1 year,46000.0,9117.76,3,12,2848.0
Fully Paid,7.56%,other,OH,40000,1245.36,10+ years,150000.0,92.4,2,10,14197.0
Fully Paid,7.02%,home_improvement,NY,10000,308.87,< 1 year,195000.0,10104.13,5,17,34727.0
Fully Paid,7.02%,debt_consolidation,AZ,15000,463.3,6 years,63000.0,15014.8,2,18,14187.0
Fully Paid,10.33%,credit_card,OH,6000,194.54,< 1 year,25000.0,6008.92,1,4,9332.0
Fully Paid,7.02%,major_purchase,CA,13000,401.53,< 1 year,160000.0,19.29,4,10,20962.0
Fully Paid,8.19%,other,MA,40000,814.7,< 1 year,70000.0,40047.14,5,13,38111.0
Fully Paid,12.40%,credit_card,MA,6025,201.27,10+ years,50000.0,6089.77,5,6,749.0
Fully Paid,20.00%,small_business,NJ,20000,743.28,< 1 year,80000.0,20288.89,11,11,6.0
Late (31-120 days),20.00%,debt_consolidation,IL,18000,668.95,2 years,38000.0,0.0,5,9,1221.0
Fully Paid,28.80%,debt_consolidation,FL,20000,632.41,10+ years,156000.0,20607.02,9,14,20387.0
Fully Paid,14.74%,debt_consolidation,FL,7500,259.04,10+ years,70000.0,7536.85,8,12,1835.0
Late (16-30 days),11.71%,debt_consolidation,AL,3000,99.23,5 years,38400.0,0.0,2,2,816.0
Fully Paid,13.08%,house,NJ,11000,250.74,10+ years,150000.0,11028.78,1,4,20550.0
Fully Paid,7.56%,debt_consolidation,NY,6000,186.81,10+ years,125000.0,20.26,4,13,26312.0
Fully Paid,13.08%,moving,NY,6000,202.4,,35707.0,6114.4,5,9,1119.0
Fully Paid,8.19%,debt_consolidation,GA,9000,282.82,10+ years,74000.0,9028.67,3,6,4677.0
Fully Paid,16.40%,debt_consolidation,FL,40000,981.25,8 years,160000.0,40094.39,5,8,91587.0
Fully Paid,8.81%,debt_consolidation,CA,15000,475.68,,65000.0,15116.94,3,6,49441.0
Fully Paid,20.00%,credit_card,CA,40000,1059.76,10+ years,40000.0,40996.72,14,17,41615.0
Fully Paid,14.74%,house,IL,15000,518.08,10+ years,94000.0,15031.81,6,11,18808.0
Charged Off,12.40%,home_improvement,CA,4000,133.63,2 years,68500.0,0.0,3,10,716.0
Fully Paid,20.00%,other,AZ,5000,185.82,7 years,50000.0,52.78,6,8,14218.0
Fully Paid,13.08%,other,CA,9000,303.6,8 years,100000.0,9016.84,9,14,342.0
Late (31-120 days),17.97%,credit_card,CA,17000,614.34,5 years,37000.0,0.0,2,6,5254.0
Late (31-120 days),17.97%,debt_consolidation,GA,21775,786.9,3 years,150000.0,0.0,4,4,1646.0
Fully Paid,14.74%,debt_consolidation,OR,20000,690.77,10+ years,145000.0,629.62,7,10,45270.0
Fully Paid,12.40%,debt_consolidation,OR,16500,551.2,6 years,97000.0,16811.76,5,10,40514.0
Fully Paid,20.00%,debt_consolidation,AZ,20000,743.28,,114146.0,20233.33,3,6,10808.0
Fully Paid,14.74%,debt_consolidation,NC,29500,697.79,10+ years,80000.0,29922.06,4,15,11012.0
Fully Paid,7.02%,debt_consolidation,OK,12600,389.17,10+ years,50000.0,12617.22,2,6,7023.0
Fully Paid,8.19%,debt_consolidation,VA,40000,814.7,6 years,176000.0,40118.3,4,13,45391.0
Fully Paid,8.19%,debt_consolidation,MA,3000,94.28,10+ years,105000.0,2946.83,15,33,10813.0
Fully Paid,8.19%,debt_consolidation,GA,5000,157.13,,96000.0,5056.32,4,9,40430.0
Fully Paid,8.19%,debt_consolidation,VA,22000,691.33,1 year,103000.0,22025.93,6,24,6531.0
Fully Paid,8.19%,debt_consolidation,NC,1000,31.43,10+ years,65000.0,1006.6,4,10,39393.0
Fully Paid,22.50%,debt_consolidation,MI,12950,497.93,1 year,47000.0,12991.93,4,9,8260.0
Fully Paid,11.02%,debt_consolidation,KS,1500,49.13,2 years,28000.0,1516.07,3,17,2589.0
Late (31-120 days),11.71%,medical,FL,40000,1323.04,< 1 year,179000.0,0.0,2,21,2318.0
Late (31-120 days),22.50%,credit_card,WI,20000,558.08,10+ years,80000.0,0.0,5,14,5749.0
Fully Paid,6.46%,credit_card,NJ,20000,612.62,2 years,51000.0,20043.34,4,7,1964.0
Fully Paid,20.00%,major_purchase,IN,1100,40.88,5 years,27000.0,29.58,3,11,2045.0
Fully Paid,11.71%,debt_consolidation,WI,18000,595.37,1 year,48500.0,18042.45,5,18,2922.0
Fully Paid,14.74%,house,NJ,10000,236.54,7 years,75000.0,10021.21,3,11,7794.0
Fully Paid,17.97%,credit_card,CA,32000,812.07,5 years,211000.0,32527.12,3,17,17013.0
Fully Paid,11.02%,debt_consolidation,LA,10000,217.53,4 years,94000.0,2063.84,4,10,7786.0
Fully Paid,20.00%,vacation,ID,2400,89.2,10+ years,45000.0,2425.33,5,17,21672.0
Fully Paid,11.02%,debt_consolidation,CA,6000,196.49,10+ years,170000.0,6065.86,6,13,42114.0
Fully Paid,20.00%,debt_consolidation,UT,8000,297.31,2 years,130000.0,8255.23,4,12,25449.0
Fully Paid,8.81%,other,VA,1500,47.57,10+ years,73000.0,1512.45,4,13,10402.0
Fully Paid,15.57%,debt_consolidation,MA,6025,210.55,,67000.0,6045.38,8,13,2652.0
Fully Paid,6.46%,credit_card,AZ,15000,459.47,10+ years,35000.0,15013.54,4,14,10702.0
Late (31-120 days),13.90%,debt_consolidation,CA,30000,1023.88,10+ years,250000.0,0.0,5,10,68779.0
Fully Paid,13.08%,debt_consolidation,PA,26000,592.65,1 year,50000.0,26375.55,3,10,30238.0
Fully Paid,7.02%,credit_card,NY,1400,43.25,< 1 year,47256.0,1406.01,1,7,1855.0
Fully Paid,11.02%,credit_card,WA,33000,717.83,2 years,78769.0,33303.05,7,20,8933.0
Fully Paid,12.40%,other,CA,1200,40.09,2 years,42482.0,1209.09,3,8,3822.0
Fully Paid,28.80%,debt_consolidation,TX,4000,167.19,9 years,57500.0,4133.72,7,10,1720.0
Fully Paid,8.19%,home_improvement,PA,22000,691.33,10+ years,100000.0,22145.15,9,14,21783.0
Fully Paid,17.19%,debt_consolidation,NM,15000,374.33,2 years,100000.0,3679.7,14,26,16184.0
Fully Paid,17.19%,debt_consolidation,GA,20000,499.1,,46000.0,20200.55,5,8,5428.0
Late (31-120 days),11.71%,debt_consolidation,WA,20000,441.97,2 years,200000.0,0.0,5,21,1915.0
Fully Paid,8.19%,credit_card,MS,24000,754.18,10+ years,50000.0,24336.42,4,11,30614.0
Fully Paid,16.40%,home_improvement,UT,14925,366.13,3 years,133500.0,15202.95,4,8,56977.0
Fully Paid,12.40%,small_business,WA,14000,314.26,8 years,190000.0,14130.2,3,13,87775.0
Fully Paid,7.56%,medical,CA,1100,34.25,1 year,92000.0,1109.41,2,7,3350.0
Fully Paid,12.40%,debt_consolidation,NJ,12000,400.87,3 years,53000.0,12058.21,5,6,1779.0
Fully Paid,6.46%,major_purchase,CT,40000,1225.24,4 years,103000.0,40250.32,2,6,44904.0
Fully Paid,17.19%,credit_card,PA,4000,142.99,6 years,50000.0,26.74,1,9,2742.0
Fully Paid,8.81%,credit_card,NY,12000,380.54,< 1 year,82000.0,12021.09,1,9,24107.0
Fully Paid,10.33%,credit_card,IL,2800,90.79,3 years,58000.0,2816.07,2,13,1971.0
Fully Paid,28.80%,debt_consolidation,PA,6000,250.79,7 years,63000.0,6129.6,5,9,5600.0
Fully Paid,7.56%,debt_consolidation,PA,26225,816.49,10+ years,118200.0,26263.55,2,7,9315.0
Fully Paid,28.80%,debt_consolidation,NV,20000,835.94,10+ years,51000.0,20052.8,7,14,14320.0
Fully Paid,13.08%,credit_card,IN,18500,421.69,3 years,88000.0,18887.62,3,10,27551.0
Fully Paid,11.71%,medical,AZ,8000,264.61,,73336.0,8018.22,2,7,2126.0
Fully Paid,12.40%,credit_card,WA,7200,240.53,3 years,86000.0,7315.59,4,9,30187.0
Fully Paid,12.40%,debt_consolidation,CT,18000,404.05,10+ years,46000.0,18099.2,6,10,20271.0
Fully Paid,14.74%,credit_card,IL,2000,69.08,,50000.0,2004.91,3,5,461.0
Fully Paid,20.00%,debt_consolidation,IN,18000,668.95,6 years,100000.0,18250.0,3,7,34897.0
Fully Paid,7.02%,other,TX,4800,148.26,< 1 year,58000.0,4001.05,2,8,1786.0
Fully Paid,15.57%,credit_card,AL,25000,873.63,10+ years,59000.0,25035.68,4,7,7278.0
Fully Paid,13.90%,debt_consolidation,MO,8000,273.04,5 years,50000.0,8049.42,6,10,5378.0
Fully Paid,12.40%,debt_consolidation,OH,16500,370.38,9 years,35000.0,16676.18,4,8,5791.0
Fully Paid,7.56%,medical,WA,25000,778.35,10+ years,74000.0,25053.81,3,13,17893.0
Fully Paid,13.08%,other,WI,9600,323.84,10+ years,27000.0,9762.58,2,8,20600.0
Fully Paid,22.50%,debt_consolidation,PA,21825,839.17,,45000.0,21870.01,7,17,3458.0
Fully Paid,8.81%,debt_consolidation,GA,12500,396.4,,25000.0,2560.15,4,9,1122.0
Fully Paid,28.80%,debt_consolidation,NC,17600,556.52,9 years,40000.0,17647.31,2,5,4585.0
